Sector,Total 
Farmacéutica,"262,066.00"
Bancos,"239,049.00"
Semiconductores,"197,820.00"
Salud,"118,062.00"
Servicios de TI,"109,526.00"
Automóviles,"100,850.00"
Servicios y medios interactivos,"96,996.51"
Bebidas,"85,682.00"
Petróleo,"85,682.00"
"Petróleo, gas y combustibles consumibles","76,985.00"
Servicios financieros diversificados,"68,258.00"
"Tecnología, Software","66,039.96"
Telecomunicaciones,"65,227.00"
Venta al por menor,"62,718.00"
"Textiles, indumentaria y artículos de lujo","48,289.00"
"Tecnología, Hardware","43,392.36"
Biotecnología,"40,501.00"
Productos domésticos,"37,218.00"
Comercio minorista de Internet,"36,325.13"
Productos alimenticios,"34,949.00"
Minorista especializado,"30,637.00"
Utilidades electricas,"27,877.00"
Conglomerados industriales,"25,303.00"
Equipo de comunicaciones,"20,355.00"
Entretenimiento,"19,158.00"
Medios de comunicación,"18,758.00"
Productos personales,"18,485.00"
"Hoteles, restaurantes y ocio","18,048.00"
Tabaco,"16,417.00"
Metales y minería,"16,116.00"
Transporte aéreo y logística,"15,708.00"
Productos químicos,"15,556.00"
Carretera y ferrocarril,"14,312.00"
Energía,"14,213.00"
Los mercados de capitales,"13,977.00"
Aeroespacial,"13,754.00"
Comercio minorista,"12,874.00"